UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	Class	GearScore	Role	Activity1	Activity2	LastLogin	ParsedLastLogin	JoinTS	ParsedJoinTS	DiscordIsMember	DiscordNameData	DiscordHasRole
172168	172168	floyd	56		Stormblade	10546	member	330	580	1760688417	2025-10-17 08:06:57	1760021254	2025-10-09 14:47:34	maybe	floydzyy|floydzyy	true
209739	209739	Yannix	57		Stormblade	11468	member	360	570	1760802582	2025-10-18 15:49:42	1760021606	2025-10-09 14:53:26	maybe	Yannix™|fjorgynprymr	true
220033	220033	VicTim	57		Soul Musician	9782	member	420	420	1760783763	2025-10-18 10:36:03	1760362892	2025-10-13 13:41:32	maybe	victim92|victim92	true
227398	227398	LorTrix	57		Soul Musician	10495	member	400	470	1760804875	2025-10-18 16:27:55	1760296114	2025-10-12 19:08:34	yes	LorTrix|lorran88	true
232242	232242	IgnaPheonix	56		Marksman	8199	member	200	320	1760808418	2025-10-18 17:26:58	1760026202	2025-10-09 16:10:02	no		false
240574	240574	HangryPanda	57		Stormblade	10567	member	360	610	1760819707	2025-10-18 20:35:07	1760022508	2025-10-09 15:08:28	maybe	.hangrypanda|.hangrypanda	true
241771	241771	Allumi	57		Stormblade	9683	member	400	590	1760782861	2025-10-18 10:21:01	1760113658	2025-10-10 16:27:38	yes	allumi|allumi	true
241840	241840	pinky	57		Soul Musician	10414	member	0	0	1760807668	2025-10-18 17:14:28	1760817675	2025-10-18 20:01:15	maybe	pinky6840|pinky6840	true
246090	246090	Ikaaa	29		AegisKnight	2570	member	0	90	1760443325	2025-10-14 12:02:05	1760021050	2025-10-09 14:44:10	maybe	ikaaa_|ikaaa_	true
256899	256899	Caxavo	56		Stormblade	10744	administrator	250	460	1760742364	2025-10-17 23:06:04	1760015007	2025-10-09 13:03:27	yes	Caxavo|tn19965	true
258953	258953	Rowlet	56		Verdant Oracle	10521	member	300	530	1760804163	2025-10-18 16:16:03	1760021778	2025-10-09 14:56:18	no		false
262378	262378	Siv	57		AegisKnight	11664	vice master	420	670	1760803882	2025-10-18 16:11:22	1760027137	2025-10-09 16:25:37	maybe	.siv|.siv	true
267096	267096	thirteen	50		Verdant Oracle	9286	member	190	440	1760544095	2025-10-15 16:01:35	1760021397	2025-10-09 14:49:57	yes	thirteen|lemonleafy	true
276659	276659	Msam	57		FrostMage	10794	member	420	630	1760809427	2025-10-18 17:43:47	1760020196	2025-10-09 14:29:56	maybe	msamy|msamy	false
277227	277227	Raa	52		Stormblade	9748	member	310	540	1760738208	2025-10-17 21:56:48	1760024620	2025-10-09 15:43:40	yes	Raa|god.raa	true
287426	287426	TKPStefan	57		FrostMage	11083	member	370	620	1760789668	2025-10-18 12:14:28	1760016850	2025-10-09 13:34:10	no		false
326132	326132	LiterallyKiyan	57		Soul Musician	10575	member	390	640	1760790326	2025-10-18 12:25:26	1760020102	2025-10-09 14:28:22	yes	literallykiyan|literallykiyan	true
414091	414091	Simo	57		FrostMage	10721	member	420	670	1760803624	2025-10-18 16:07:04	1760033066	2025-10-09 18:04:26	yes	Simo|keybugster	true
416036	416036	Solteki	56		HeavyGuardian	10495	administrator	350	580	1760807200	2025-10-18 17:06:40	1760019634	2025-10-09 14:20:34	yes	solteki|solteki	true
417859	417859	Slabakker	53		Stormblade	9585	member	190	190	1760777328	2025-10-18 08:48:48	1760627137	2025-10-16 15:05:37	no		false
418748	418748	Mupechito	57		AegisKnight	10908	member	420	670	1760761859	2025-10-18 04:30:59	1760022619	2025-10-09 15:10:19	yes	Mupechito|gonzawe	true
